ActionAuditID~ActionAuditType~ActionBy~ActionTimeUTC~EntityID~EntityTypeID~HistoryToken
'1'~'Export Requested'~'580C4EC0-04C1-4496-B286-CFB127A2D988'~'2013-10-28 16:24:24'~'15'~'2'~'9395EE74-DE22-4D08-B00C-1599BE6D1CD4'
'2'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:15:27'~'19'~'1'~'F7E61567-ED19-4748-82C1-2C3EF5991FAB'
'3'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:15:27'~'31'~'2'~'F7E61567-ED19-4748-82C1-2C3EF5991FAB'
'4'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:15:27'~'32'~'2'~'F7E61567-ED19-4748-82C1-2C3EF5991FAB'
'5'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:28'~'13'~'1'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
'6'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:28'~'38'~'2'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
'7'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:28'~'39'~'2'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
'8'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:28'~'40'~'2'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
'9'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:28'~'41'~'2'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
'10'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:28'~'42'~'2'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
'11'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:28'~'43'~'2'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
'12'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:28'~'44'~'2'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
'13'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:28'~'45'~'2'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
'14'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:28'~'46'~'2'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
