addressID~addressLine1~addressLine2~addressLine3~addressLine4~city~CountrySubdivisionCodeId~postalCode~country~countrySubdivision~DocumentKey~LastUpdatedBy
'1'~'10 S. Riverside Plaza          1'~'Chicago IL 60606 USA          1'~'xxxxx3'~''~'test'~'0'~''~'1'~''~~
'2'~'10 S. Riverside Plaza          2'~'Chicago IL 60606 USA          2'~''~''~''~'0'~''~'0'~''~~
'3'~'10 S. Riverside Plaza          3'~'Chicago IL 60606 USA          3'~''~''~''~'0'~''~'0'~''~~
'4'~'10 S. Riverside Plaza          4'~'Chicago IL 60606 USA          4'~''~''~''~'0'~''~'0'~''~~
'5'~'10 S. Riverside Plaza          5'~'Chicago IL 60606 USA          5'~''~''~''~'0'~''~'0'~''~~
'6'~'10 S. Riverside Plaza          6'~'Chicago IL 60606 USA          6'~''~''~''~'0'~''~'0'~''~~
'7'~'10 S. Riverside Plaza          7'~'Chicago IL 60606 USA          7'~''~''~''~'0'~''~'0'~''~~
'8'~'10 S. Riverside Plaza          8'~'Chicago IL 60606 USA          8'~''~''~''~'0'~''~'76'~''~~
'9'~'10 S. Riverside Plaza          9'~'Chicago IL 60606 USA          9'~''~''~''~'0'~''~'0'~''~~
'10'~'10 S. Riverside Plaza         10'~'Chicago IL 60606 USA         10'~''~''~''~'0'~''~'0'~''~~
'11'~'10 S. Riverside Plaza         11'~'Chicago IL 60606 USA         11'~''~''~''~'0'~''~'72'~''~~
'12'~'10 S. Riverside Plaza         12'~'Chicago IL 60606 USA         12'~''~''~''~'0'~''~'0'~''~~
'13'~'10 S. Riverside Plaza         13'~'Chicago IL 60606 USA         13'~''~''~''~'0'~''~'0'~''~~
'14'~'10 S. Riverside Plaza         14'~'Chicago IL 60606 USA         14'~''~'Thomas Karnau'~'Wakefield'~'0'~'02879'~'76'~''~~
'15'~'10 S. Riverside Plaza         15'~'Chicago IL 60606 USA         15'~''~''~''~'0'~''~'0'~''~~
