doc_DocumentID~documentID~dataRecipientGLN~documentCurrentStatus~FileCreatedDate~ConfirmationRecievedDate~doc_MessageID~companyId~documentException
'1'~'201310221'~'8380160030003'~'1'~'2013-10-22 21:53:55'~~'1'~'13'~''
'2'~'201310232'~'8380160030003'~'1'~'2013-10-23 15:34:22'~~'2'~'13'~''
'3'~'201310233'~'8380160030003'~'1'~'2013-10-23 15:46:40'~~'7'~'13'~''
'4'~'201310244'~'8380160030003'~'1'~'2013-10-24 15:46:01'~~'27'~'13'~''
'5'~'201310245'~'8380160030003'~'1'~'2013-10-24 17:19:00'~~'32'~'13'~''
'6'~'201310246'~'8380160030003'~'1'~'2013-10-24 18:49:02'~~'42'~'13'~''
'7'~'201310247'~'8380160030003'~'1'~'2013-10-24 18:49:03'~~'42'~'19'~''
'8'~'201310248'~'8380160030003'~'1'~'2013-10-24 20:19:13'~~'47'~'13'~''
'9'~'201310249'~'8380160030003'~'1'~'2013-10-24 21:05:49'~~'52'~'13'~''
'10'~'2013102410'~'8380160030003'~'1'~'2013-10-24 21:08:49'~~'55'~'13'~''
'11'~'2013102411'~'8380160030003'~'1'~'2013-10-24 21:09:49'~~'56'~'13'~''
'12'~'2013102412'~'8380160030003'~'1'~'2013-10-24 21:14:53'~~'57'~'13'~''
'13'~'2013102413'~'8380160030003'~'1'~'2013-10-24 21:39:01'~~'62'~'13'~''
'14'~'2013102414'~'8380160030003'~'1'~'2013-10-24 22:06:26'~~'67'~'13'~''
'15'~'2013102515'~'8380160030003'~'1'~'2013-10-25 19:50:04'~~'87'~'13'~''
'16'~'2013102516'~'8380160030003'~'1'~'2013-10-25 20:33:43'~~'92'~'13'~''
'17'~'2013102817'~'8380160030003'~'1'~'2013-10-28 14:40:20'~~'141'~'13'~''
'18'~'2013102818'~'8380160030003'~'1'~'2013-10-28 18:57:58'~~'151'~'13'~''
'19'~'2013102919'~'8380160030003'~'1'~'2013-10-29 19:00:13'~~'166'~'19'~''
'20'~'2013103020'~'8380160030003'~'1'~'2013-10-30 12:45:50'~~'240'~'19'~''
'21'~'2013103021'~'8380160030003'~'1'~'2013-10-30 14:46:10'~~'248'~'19'~''
'22'~'2013103022'~'8380160030003'~'1'~'2013-10-30 18:34:09'~~'263'~'-1'~''
